dataset;gene;soustype;typesurvie;pval_logRank;HR;n;FDR_logrank
E_MTAB_365;WDR13;All-tumours;OS;0,8;0,1;428;0,99
E_MTAB_365;WDR13;All-tumours;DFS;0,43;0,1;428;0,99
E_MTAB_365;WDR13;Luminal-A;OS;0,75;-0,2;113;0,99
E_MTAB_365;WDR13;Luminal-A;DFS;0,8;-0,1;113;0,99
E_MTAB_365;WDR13;Luminal-B;OS;0,99;0;103;0,99
E_MTAB_365;WDR13;Luminal-B;DFS;0,63;-0,2;103;0,99
E_MTAB_365;WDR13;HER2-enriched;OS;0,71;0,2;48;0,99
E_MTAB_365;WDR13;HER2-enriched;DFS;0,9;0,1;48;0,99
E_MTAB_365;WDR13;Basal-like;OS;0,49;0,3;82;0,99
E_MTAB_365;WDR13;Basal-like;DFS;0,31;0,3;82;0,99
E_MTAB_365;METTL17;All-tumours;OS;0,39;0,2;428;0,90
E_MTAB_365;METTL17;All-tumours;DFS;0,79;0;428;0,90
E_MTAB_365;METTL17;Luminal-A;OS;0,81;0,2;113;0,90
E_MTAB_365;METTL17;Luminal-A;DFS;0,9;-0,1;113;0,90
E_MTAB_365;METTL17;Luminal-B;OS;0,2;0,5;103;0,90
E_MTAB_365;METTL17;Luminal-B;DFS;0,09;0,6;103;0,90
E_MTAB_365;METTL17;HER2-enriched;OS;0,86;0,1;48;0,90
E_MTAB_365;METTL17;HER2-enriched;DFS;0,77;0,2;48;0,90
E_MTAB_365;METTL17;Basal-like;OS;0,34;0,4;82;0,90
E_MTAB_365;METTL17;Basal-like;DFS;0,46;0,3;82;0,90
E_MTAB_365;SMYD3;All-tumours;OS;0,51;0,1;428;0,61
E_MTAB_365;SMYD3;All-tumours;DFS;0,53;0,1;428;0,61
E_MTAB_365;SMYD3;Luminal-A;OS;0,55;-0,4;113;0,61
E_MTAB_365;SMYD3;Luminal-A;DFS;0,33;0,5;113;0,61
E_MTAB_365;SMYD3;Luminal-B;OS;0,61;-0,2;103;0,61
E_MTAB_365;SMYD3;Luminal-B;DFS;0,47;-0,2;103;0,61
E_MTAB_365;SMYD3;HER2-enriched;OS;0,52;-0,4;48;0,61
E_MTAB_365;SMYD3;HER2-enriched;DFS;0,31;-0,6;48;0,61
E_MTAB_365;SMYD3;Basal-like;OS;0,35;-0,4;82;0,61
E_MTAB_365;SMYD3;Basal-like;DFS;0,46;-0,3;82;0,61
E_MTAB_365;METTL4;All-tumours;OS;0,61;-0,1;428;0,68
E_MTAB_365;METTL4;All-tumours;DFS;0,3;-0,2;428;0,68
E_MTAB_365;METTL4;Luminal-A;OS;0,57;0,4;113;0,68
E_MTAB_365;METTL4;Luminal-A;DFS;0,38;0,4;113;0,68
E_MTAB_365;METTL4;Luminal-B;OS;0,19;-0,5;103;0,68
E_MTAB_365;METTL4;Luminal-B;DFS;0,49;-0,2;103;0,68
E_MTAB_365;METTL4;HER2-enriched;OS;0,46;0,4;48;0,68
E_MTAB_365;METTL4;HER2-enriched;DFS;0,81;-0,1;48;0,81
E_MTAB_365;METTL4;Basal-like;OS;0,21;0,5;82;0,68
E_MTAB_365;METTL4;Basal-like;DFS;0,55;0,2;82;0,68
E_MTAB_365;NBEAL1;All-tumours;OS;0,43;0,2;428;0,88
E_MTAB_365;NBEAL1;All-tumours;DFS;0,09;0,3;428;0,88
E_MTAB_365;NBEAL1;Luminal-A;OS;0,57;-0,4;113;0,88
E_MTAB_365;NBEAL1;Luminal-A;DFS;0,84;0,1;113;0,88
E_MTAB_365;NBEAL1;Luminal-B;OS;0,7;-0,1;103;0,88
E_MTAB_365;NBEAL1;Luminal-B;DFS;0,43;-0,3;103;0,88
E_MTAB_365;NBEAL1;HER2-enriched;OS;0,62;-0,3;48;0,88
E_MTAB_365;NBEAL1;HER2-enriched;DFS;0,88;-0,1;48;0,88
E_MTAB_365;NBEAL1;Basal-like;OS;0,64;0,2;82;0,88
E_MTAB_365;NBEAL1;Basal-like;DFS;0,77;0,1;82;0,88
E_MTAB_365;ANTKMT;All-tumours;OS;0,37;0,2;428;0,82
E_MTAB_365;ANTKMT;All-tumours;DFS;0,7;0,1;428;0,85
E_MTAB_365;ANTKMT;Luminal-A;OS;0,5;-0,5;113;0,83
E_MTAB_365;ANTKMT;Luminal-A;DFS;0,84;-0,1;113;0,85
E_MTAB_365;ANTKMT;Luminal-B;OS;0,22;0,5;103;0,73
E_MTAB_365;ANTKMT;Luminal-B;DFS;0,76;0,1;103;0,85
E_MTAB_365;ANTKMT;HER2-enriched;OS;0,41;0,5;48;0,82
E_MTAB_365;ANTKMT;HER2-enriched;DFS;0,85;0,1;48;0,85
E_MTAB_365;ANTKMT;Basal-like;OS;0,06;-0,7;82;0,35
E_MTAB_365;ANTKMT;Basal-like;DFS;0,07;-0,6;82;0,35
E_MTAB_365;NUP37;All-tumours;OS;0,53;-0,1;428;0,97
E_MTAB_365;NUP37;All-tumours;DFS;0,44;-0,1;428;0,97
E_MTAB_365;NUP37;Luminal-A;OS;0,97;0;113;0,97
E_MTAB_365;NUP37;Luminal-A;DFS;0,72;0,2;113;0,97
E_MTAB_365;NUP37;Luminal-B;OS;0,57;-0,2;103;0,97
E_MTAB_365;NUP37;Luminal-B;DFS;0,9;0;103;0,97
E_MTAB_365;NUP37;HER2-enriched;OS;0,96;0;48;0,97
E_MTAB_365;NUP37;HER2-enriched;DFS;0,39;-0,5;48;0,97
E_MTAB_365;NUP37;Basal-like;OS;0,93;0;82;0,97
E_MTAB_365;NUP37;Basal-like;DFS;0,34;-0,3;82;0,97
E_MTAB_365;ZFYVE21;All-tumours;OS;0,17;0,3;428;0,57
E_MTAB_365;ZFYVE21;All-tumours;DFS;0,36;0,2;428;0,83
E_MTAB_365;ZFYVE21;Luminal-A;OS;0,64;-0,3;113;0,83
E_MTAB_365;ZFYVE21;Luminal-A;DFS;0,99;0;113;0,99
E_MTAB_365;ZFYVE21;Luminal-B;OS;0,68;-0,1;103;0,83
E_MTAB_365;ZFYVE21;Luminal-B;DFS;0,43;-0,3;103;0,83
E_MTAB_365;ZFYVE21;HER2-enriched;OS;0,72;0,2;48;0,83
E_MTAB_365;ZFYVE21;HER2-enriched;DFS;0,75;-0,2;48;0,83
E_MTAB_365;ZFYVE21;Basal-like;OS;0,12;-0,6;82;0,57
E_MTAB_365;ZFYVE21;Basal-like;DFS;0,1;-0,6;82;0,57
E_MTAB_365;METTL16;All-tumours;OS;0,56;-0,1;428;0,92
E_MTAB_365;METTL16;All-tumours;DFS;0,79;0;428;0,92
E_MTAB_365;METTL16;Luminal-A;OS;0,79;-0,2;113;0,92
E_MTAB_365;METTL16;Luminal-A;DFS;0,91;0;113;0,92
E_MTAB_365;METTL16;Luminal-B;OS;0,52;0,2;103;0,92
E_MTAB_365;METTL16;Luminal-B;DFS;0,92;0;103;0,92
E_MTAB_365;METTL16;HER2-enriched;OS;0,27;-0,7;48;0,90
E_MTAB_365;METTL16;HER2-enriched;DFS;0,37;-0,5;48;0,92
E_MTAB_365;METTL16;Basal-like;OS;0,03;0,8;82;0,15
E_MTAB_365;METTL16;Basal-like;DFS;0,01;0,9;82;0,10
E_MTAB_365;MLPH;All-tumours;OS;0,07;0,4;428;0,23
E_MTAB_365;MLPH;All-tumours;DFS;0,02;0,4;428;0,20
E_MTAB_365;MLPH;Luminal-A;OS;0,86;-0,1;113;0,86
E_MTAB_365;MLPH;Luminal-A;DFS;0,59;-0,3;113;0,66
E_MTAB_365;MLPH;Luminal-B;OS;0,32;-0,4;103;0,58
E_MTAB_365;MLPH;Luminal-B;DFS;0,41;-0,3;103;0,58
E_MTAB_365;MLPH;HER2-enriched;OS;0,16;-0,8;48;0,40
E_MTAB_365;MLPH;HER2-enriched;DFS;0,05;-1,1;48;0,23
E_MTAB_365;MLPH;Basal-like;OS;0,35;-0,4;82;0,58
E_MTAB_365;MLPH;Basal-like;DFS;0,46;-0,3;82;0,58
E_MTAB_365;WDR77;All-tumours;OS;0,01;-0,5;428;0,10
E_MTAB_365;WDR77;All-tumours;DFS;0,03;-0,4;428;0,15
E_MTAB_365;WDR77;Luminal-A;OS;0,54;-0,4;113;0,89
E_MTAB_365;WDR77;Luminal-A;DFS;0,9;-0,1;113;0,90
E_MTAB_365;WDR77;Luminal-B;OS;0,78;-0,1;103;0,89
E_MTAB_365;WDR77;Luminal-B;DFS;0,8;-0,1;103;0,89
E_MTAB_365;WDR77;HER2-enriched;OS;0,39;0,5;48;0,78
E_MTAB_365;WDR77;HER2-enriched;DFS;0,68;0,2;48;0,89
E_MTAB_365;WDR77;Basal-like;OS;0,17;-0,5;82;0,43
E_MTAB_365;WDR77;Basal-like;DFS;0,15;-0,5;82;0,43
E_MTAB_365;METTL22;All-tumours;OS;0,98;0;428;0,98
E_MTAB_365;METTL22;All-tumours;DFS;0,9;0;428;0,98
E_MTAB_365;METTL22;Luminal-A;OS;0,64;-0,3;113;0,98
E_MTAB_365;METTL22;Luminal-A;DFS;0,72;0,2;113;0,98
E_MTAB_365;METTL22;Luminal-B;OS;0,62;0,2;103;0,98
E_MTAB_365;METTL22;Luminal-B;DFS;0,91;0;103;0,98
E_MTAB_365;METTL22;HER2-enriched;OS;0,52;0,4;48;0,98
E_MTAB_365;METTL22;HER2-enriched;DFS;0,74;0,2;48;0,98
E_MTAB_365;METTL22;Basal-like;OS;0,74;-0,1;82;0,98
E_MTAB_365;METTL22;Basal-like;DFS;0,48;-0,2;82;0,98
E_MTAB_365;PHF23;All-tumours;OS;0,58;-0,1;428;0,72
E_MTAB_365;PHF23;All-tumours;DFS;0,51;-0,1;428;0,72
E_MTAB_365;PHF23;Luminal-A;OS;0,74;0,3;113;0,82
E_MTAB_365;PHF23;Luminal-A;DFS;0,96;0;113;0,96
E_MTAB_365;PHF23;Luminal-B;OS;0,4;-0,3;103;0,67
E_MTAB_365;PHF23;Luminal-B;DFS;0,27;-0,4;103;0,54
E_MTAB_365;PHF23;HER2-enriched;OS;0,02;1,5;48;0,15
E_MTAB_365;PHF23;HER2-enriched;DFS;0,03;1,2;48;0,15
E_MTAB_365;PHF23;Basal-like;OS;0,06;-0,8;82;0,20
E_MTAB_365;PHF23;Basal-like;DFS;0,11;-0,6;82;0,27
E_MTAB_365;PLEKHF1;All-tumours;OS;0,2;-0,3;428;0,50
E_MTAB_365;PLEKHF1;All-tumours;DFS;0,17;-0,2;428;0,50
E_MTAB_365;PLEKHF1;Luminal-A;OS;0,77;0,2;113;0,86
E_MTAB_365;PLEKHF1;Luminal-A;DFS;0,26;0,5;113;0,52
E_MTAB_365;PLEKHF1;Luminal-B;OS;0,69;0,1;103;0,86
E_MTAB_365;PLEKHF1;Luminal-B;DFS;0,39;0,3;103;0,65
E_MTAB_365;PLEKHF1;HER2-enriched;OS;0,93;0;48;0,93
E_MTAB_365;PLEKHF1;HER2-enriched;DFS;0,65;-0,2;48;0,86
E_MTAB_365;PLEKHF1;Basal-like;OS;0,09;0,6;82;0,50
E_MTAB_365;PLEKHF1;Basal-like;DFS;0,15;0,5;82;0,50
E_MTAB_365;THOC6;All-tumours;OS;0,25;0,2;428;0,47
E_MTAB_365;THOC6;All-tumours;DFS;0,23;0,2;428;0,47
E_MTAB_365;THOC6;Luminal-A;OS;0,83;0,1;113;0,92
E_MTAB_365;THOC6;Luminal-A;DFS;0,57;0,3;113;0,75
E_MTAB_365;THOC6;Luminal-B;OS;0,6;0,2;103;0,75
E_MTAB_365;THOC6;Luminal-B;DFS;0,98;0;103;0,98
E_MTAB_365;THOC6;HER2-enriched;OS;0;2;48;0,00
E_MTAB_365;THOC6;HER2-enriched;DFS;0,05;1,1;48;0,25
E_MTAB_365;THOC6;Basal-like;OS;0,15;-0,5;82;0,47
E_MTAB_365;THOC6;Basal-like;DFS;0,28;-0,4;82;0,47
E_MTAB_365;DCAF10;All-tumours;OS;0,04;0,4;428;0,40
E_MTAB_365;DCAF10;All-tumours;DFS;0,1;0,3;428;0,50
E_MTAB_365;DCAF10;Luminal-A;OS;0,69;0,3;113;0,82
E_MTAB_365;DCAF10;Luminal-A;DFS;0,85;-0,1;113;0,85
E_MTAB_365;DCAF10;Luminal-B;OS;0,74;-0,1;103;0,82
E_MTAB_365;DCAF10;Luminal-B;DFS;0,62;-0,2;103;0,82
E_MTAB_365;DCAF10;HER2-enriched;OS;0,57;-0,3;48;0,82
E_MTAB_365;DCAF10;HER2-enriched;DFS;0,41;-0,5;48;0,82
E_MTAB_365;DCAF10;Basal-like;OS;0,26;0,4;82;0,82
E_MTAB_365;DCAF10;Basal-like;DFS;0,41;0,3;82;0,82
E_MTAB_365;FYCO1;All-tumours;OS;0,57;-0,1;428;0,81
E_MTAB_365;FYCO1;All-tumours;DFS;0,29;-0,2;428;0,68
E_MTAB_365;FYCO1;Luminal-A;OS;0,08;-1,3;113;0,40
E_MTAB_365;FYCO1;Luminal-A;DFS;0,04;-1;113;0,40
E_MTAB_365;FYCO1;Luminal-B;OS;0,38;0,3;103;0,68
E_MTAB_365;FYCO1;Luminal-B;DFS;0,17;0,5;103;0,57
E_MTAB_365;FYCO1;HER2-enriched;OS;0,86;0,1;48;0,86
E_MTAB_365;FYCO1;HER2-enriched;DFS;0,78;0,2;48;0,86
E_MTAB_365;FYCO1;Basal-like;OS;0,67;-0,2;82;0,84
E_MTAB_365;FYCO1;Basal-like;DFS;0,41;-0,3;82;0,68
E_MTAB_365;WDR25;All-tumours;OS;0,17;0,3;428;0,97
E_MTAB_365;WDR25;All-tumours;DFS;0,72;0,1;428;0,97
E_MTAB_365;WDR25;Luminal-A;OS;0,41;0,5;113;0,97
E_MTAB_365;WDR25;Luminal-A;DFS;0,71;0,2;113;0,97
E_MTAB_365;WDR25;Luminal-B;OS;0,96;0;103;0,97
E_MTAB_365;WDR25;Luminal-B;DFS;0,9;0;103;0,97
E_MTAB_365;WDR25;HER2-enriched;OS;0,97;0;48;0,97
E_MTAB_365;WDR25;HER2-enriched;DFS;0,52;-0,3;48;0,97
E_MTAB_365;WDR25;Basal-like;OS;0,45;0,3;82;0,97
E_MTAB_365;WDR25;Basal-like;DFS;0,56;0,2;82;0,97
E_MTAB_365;SPAG16;All-tumours;OS;0,08;-0,4;428;0,25
E_MTAB_365;SPAG16;All-tumours;DFS;0,27;-0,2;428;0,40
E_MTAB_365;SPAG16;Luminal-A;OS;0,31;-0,7;113;0,40
E_MTAB_365;SPAG16;Luminal-A;DFS;0,47;-0,3;113;0,52
E_MTAB_365;SPAG16;Luminal-B;OS;0,1;0,6;103;0,25
E_MTAB_365;SPAG16;Luminal-B;DFS;0,13;0,5;103;0,26
E_MTAB_365;SPAG16;HER2-enriched;OS;0;-2,2;48;0,00
E_MTAB_365;SPAG16;HER2-enriched;DFS;0,04;-1,2;48;0,20
E_MTAB_365;SPAG16;Basal-like;OS;0,32;-0,4;82;0,40
E_MTAB_365;SPAG16;Basal-like;DFS;0,52;-0,2;82;0,52
E_MTAB_365;CORO7;All-tumours;OS;0,31;-0,2;428;0,71
E_MTAB_365;CORO7;All-tumours;DFS;0,43;-0,1;428;0,71
E_MTAB_365;CORO7;Luminal-A;OS;0,56;-0,4;113;0,71
E_MTAB_365;CORO7;Luminal-A;DFS;0,21;-0,6;113;0,71
E_MTAB_365;CORO7;Luminal-B;OS;0,35;0,3;103;0,71
E_MTAB_365;CORO7;Luminal-B;DFS;0,73;0,1;103;0,81
E_MTAB_365;CORO7;HER2-enriched;OS;0,57;-0,3;48;0,71
E_MTAB_365;CORO7;HER2-enriched;DFS;0,99;0;48;0,99
E_MTAB_365;CORO7;Basal-like;OS;0,36;0,3;82;0,71
E_MTAB_365;CORO7;Basal-like;DFS;0,3;0,4;82;0,71
E_MTAB_365;VCPKMT;All-tumours;OS;0,72;0,1;428;0,83
E_MTAB_365;VCPKMT;All-tumours;DFS;0,78;0;428;0,83
E_MTAB_365;VCPKMT;Luminal-A;OS;0,82;0,2;113;0,83
E_MTAB_365;VCPKMT;Luminal-A;DFS;0,57;-0,3;113;0,83
E_MTAB_365;VCPKMT;Luminal-B;OS;0,14;-0,5;103;0,83
E_MTAB_365;VCPKMT;Luminal-B;DFS;0,7;-0,1;103;0,83
E_MTAB_365;VCPKMT;HER2-enriched;OS;0,78;-0,2;48;0,83
E_MTAB_365;VCPKMT;HER2-enriched;DFS;0,32;-0,5;48;0,83
E_MTAB_365;VCPKMT;Basal-like;OS;0,26;0,4;82;0,83
E_MTAB_365;VCPKMT;Basal-like;DFS;0,83;0,1;82;0,83
E_MTAB_365;PLEKHF2;All-tumours;OS;0,56;0,1;428;0,80
E_MTAB_365;PLEKHF2;All-tumours;DFS;0,5;0,1;428;0,80
E_MTAB_365;PLEKHF2;Luminal-A;OS;0,96;0;113;0,96
E_MTAB_365;PLEKHF2;Luminal-A;DFS;0,78;-0,1;113;0,89
E_MTAB_365;PLEKHF2;Luminal-B;OS;0,47;-0,3;103;0,80
E_MTAB_365;PLEKHF2;Luminal-B;DFS;0,8;0,1;103;0,89
E_MTAB_365;PLEKHF2;HER2-enriched;OS;0,01;1,6;48;0,05
E_MTAB_365;PLEKHF2;HER2-enriched;DFS;0,01;1,5;48;0,05
E_MTAB_365;PLEKHF2;Basal-like;OS;0,35;-0,4;82;0,80
E_MTAB_365;PLEKHF2;Basal-like;DFS;0,51;-0,2;82;0,80
E_MTAB_365;MORC4;All-tumours;OS;0,16;-0,3;428;0,54
E_MTAB_365;MORC4;All-tumours;DFS;0,26;-0,2;428;0,54
E_MTAB_365;MORC4;Luminal-A;OS;0,51;-0,4;113;0,64
E_MTAB_365;MORC4;Luminal-A;DFS;0,42;-0,4;113;0,60
E_MTAB_365;MORC4;Luminal-B;OS;0,62;-0,2;103;0,69
E_MTAB_365;MORC4;Luminal-B;DFS;0,93;0;103;0,93
E_MTAB_365;MORC4;HER2-enriched;OS;0,2;0,8;48;0,54
E_MTAB_365;MORC4;HER2-enriched;DFS;0,27;0,6;48;0,54
E_MTAB_365;MORC4;Basal-like;OS;0,15;-0,6;82;0,54
E_MTAB_365;MORC4;Basal-like;DFS;0,34;-0,3;82;0,57
E_MTAB_365;IPO4;All-tumours;OS;0,58;0,1;428;0,87
E_MTAB_365;IPO4;All-tumours;DFS;0,83;0;428;0,87
E_MTAB_365;IPO4;Luminal-A;OS;0,69;0,3;113;0,87
E_MTAB_365;IPO4;Luminal-A;DFS;0,74;0,2;113;0,87
E_MTAB_365;IPO4;Luminal-B;OS;0,19;-0,5;103;0,87
E_MTAB_365;IPO4;Luminal-B;DFS;0,02;-0,8;103;0,20
E_MTAB_365;IPO4;HER2-enriched;OS;0,76;0,2;48;0,87
E_MTAB_365;IPO4;HER2-enriched;DFS;0,87;-0,1;48;0,87
E_MTAB_365;IPO4;Basal-like;OS;0,53;0,2;82;0,87
E_MTAB_365;IPO4;Basal-like;DFS;0,85;0,1;82;0,87
E_MTAB_365;TBL1XR1;All-tumours;OS;0,66;0,1;428;0,98
E_MTAB_365;TBL1XR1;All-tumours;DFS;0,79;0;428;0,98
E_MTAB_365;TBL1XR1;Luminal-A;OS;0,75;-0,2;113;0,98
E_MTAB_365;TBL1XR1;Luminal-A;DFS;0,59;-0,3;113;0,98
E_MTAB_365;TBL1XR1;Luminal-B;OS;0,23;-0,4;103;0,98
E_MTAB_365;TBL1XR1;Luminal-B;DFS;0,75;-0,1;103;0,98
E_MTAB_365;TBL1XR1;HER2-enriched;OS;0,17;0,8;48;0,98
E_MTAB_365;TBL1XR1;HER2-enriched;DFS;0,38;0,5;48;0,98
E_MTAB_365;TBL1XR1;Basal-like;OS;0,98;0;82;0,98
E_MTAB_365;TBL1XR1;Basal-like;DFS;0,95;0;82;0,98
E_MTAB_365;SUV39H2;All-tumours;OS;0,03;-0,5;428;0,15
E_MTAB_365;SUV39H2;All-tumours;DFS;0,01;-0,5;428;0,10
E_MTAB_365;SUV39H2;Luminal-A;OS;0,27;0,8;113;0,68
E_MTAB_365;SUV39H2;Luminal-A;DFS;0,96;0;113;0,96
E_MTAB_365;SUV39H2;Luminal-B;OS;0,41;-0,3;103;0,82
E_MTAB_365;SUV39H2;Luminal-B;DFS;0,53;-0,2;103;0,86
E_MTAB_365;SUV39H2;HER2-enriched;OS;0,26;0,7;48;0,68
E_MTAB_365;SUV39H2;HER2-enriched;DFS;0,85;-0,1;48;0,94
E_MTAB_365;SUV39H2;Basal-like;OS;0,6;-0,2;82;0,86
E_MTAB_365;SUV39H2;Basal-like;DFS;0,84;-0,1;82;0,94
E_MTAB_365;WDR59;All-tumours;OS;0,6;0,1;428;0,79
E_MTAB_365;WDR59;All-tumours;DFS;0,34;0,2;428;0,62
E_MTAB_365;WDR59;Luminal-A;OS;0,71;0,3;113;0,79
E_MTAB_365;WDR59;Luminal-A;DFS;0,37;0,5;113;0,62
E_MTAB_365;WDR59;Luminal-B;OS;0,83;0,1;103;0,83
E_MTAB_365;WDR59;Luminal-B;DFS;0,71;0,1;103;0,79
E_MTAB_365;WDR59;HER2-enriched;OS;0,26;-0,7;48;0,62
E_MTAB_365;WDR59;HER2-enriched;DFS;0,33;-0,5;48;0,62
E_MTAB_365;WDR59;Basal-like;OS;0,19;0,5;82;0,62
E_MTAB_365;WDR59;Basal-like;DFS;0,21;0,4;82;0,62
E_MTAB_365;ZNF408;All-tumours;OS;0,37;-0,2;428;0,92
E_MTAB_365;ZNF408;All-tumours;DFS;0,55;-0,1;428;0,99
E_MTAB_365;ZNF408;Luminal-A;OS;0,37;-0,6;113;0,92
E_MTAB_365;ZNF408;Luminal-A;DFS;0,83;-0,1;113;0,99
E_MTAB_365;ZNF408;Luminal-B;OS;0,72;-0,1;103;0,99
E_MTAB_365;ZNF408;Luminal-B;DFS;0,94;0;103;0,99
E_MTAB_365;ZNF408;HER2-enriched;OS;0,99;0;48;0,99
E_MTAB_365;ZNF408;HER2-enriched;DFS;0,91;0,1;48;0,99
E_MTAB_365;ZNF408;Basal-like;OS;0,15;0,5;82;0,75
E_MTAB_365;ZNF408;Basal-like;DFS;0,11;0,6;82;0,75
E_MTAB_365;GSTCD;All-tumours;OS;0,78;0,1;428;0,94
E_MTAB_365;GSTCD;All-tumours;DFS;0,61;0,1;428;0,94
E_MTAB_365;GSTCD;Luminal-A;OS;0,2;-1;113;0,65
E_MTAB_365;GSTCD;Luminal-A;DFS;0,52;-0,3;113;0,94
E_MTAB_365;GSTCD;Luminal-B;OS;0,07;-0,7;103;0,65
E_MTAB_365;GSTCD;Luminal-B;DFS;0,15;-0,5;103;0,65
E_MTAB_365;GSTCD;HER2-enriched;OS;0,95;0;48;0,95
E_MTAB_365;GSTCD;HER2-enriched;DFS;0,85;0,1;48;0,94
E_MTAB_365;GSTCD;Basal-like;OS;0,26;-0,4;82;0,65
E_MTAB_365;GSTCD;Basal-like;DFS;0,66;-0,1;82;0,94
E_MTAB_365;EHMT1;All-tumours;OS;0,67;-0,1;428;0,87
E_MTAB_365;EHMT1;All-tumours;DFS;0,31;-0,2;428;0,84
E_MTAB_365;EHMT1;Luminal-A;OS;0,42;-0,6;113;0,84
E_MTAB_365;EHMT1;Luminal-A;DFS;0,56;-0,3;113;0,87
E_MTAB_365;EHMT1;Luminal-B;OS;0,34;-0,4;103;0,84
E_MTAB_365;EHMT1;Luminal-B;DFS;0,13;-0,5;103;0,84
E_MTAB_365;EHMT1;HER2-enriched;OS;0,85;-0,1;48;0,90
E_MTAB_365;EHMT1;HER2-enriched;DFS;0,7;0,2;48;0,87
E_MTAB_365;EHMT1;Basal-like;OS;0,9;-0,1;82;0,90
E_MTAB_365;EHMT1;Basal-like;DFS;0,29;-0,4;82;0,84
E_MTAB_365;DNAI4;All-tumours;OS;0;0,6;428;0,00
E_MTAB_365;DNAI4;All-tumours;DFS;0,01;0,5;428;0,05
E_MTAB_365;DNAI4;Luminal-A;OS;0,24;0,8;113;0,48
E_MTAB_365;DNAI4;Luminal-A;DFS;0,07;0,9;113;0,23
E_MTAB_365;DNAI4;Luminal-B;OS;0,74;0,1;103;0,80
E_MTAB_365;DNAI4;Luminal-B;DFS;0,55;-0,2;103;0,80
E_MTAB_365;DNAI4;HER2-enriched;OS;0,15;0,9;48;0,37
E_MTAB_365;DNAI4;HER2-enriched;DFS;0,68;0,2;48;0,80
E_MTAB_365;DNAI4;Basal-like;OS;0,8;-0,1;82;0,80
E_MTAB_365;DNAI4;Basal-like;DFS;0,72;-0,1;82;0,80
E_MTAB_365;CAMKMT;All-tumours;OS;0,6;0,1;428;0,74
E_MTAB_365;CAMKMT;All-tumours;DFS;0,59;0,1;428;0,74
E_MTAB_365;CAMKMT;Luminal-A;OS;0,42;0,5;113;0,74
E_MTAB_365;CAMKMT;Luminal-A;DFS;0,3;0,5;113;0,74
E_MTAB_365;CAMKMT;Luminal-B;OS;0,92;0;103;0,92
E_MTAB_365;CAMKMT;Luminal-B;DFS;0,67;-0,1;103;0,74
E_MTAB_365;CAMKMT;HER2-enriched;OS;0,54;0,4;48;0,74
E_MTAB_365;CAMKMT;HER2-enriched;DFS;0,25;0,6;48;0,74
E_MTAB_365;CAMKMT;Basal-like;OS;0,55;0,2;82;0,74
E_MTAB_365;CAMKMT;Basal-like;DFS;0,57;0,2;82;0,74
E_MTAB_365;METTL8;All-tumours;OS;0;0,6;428;0,00
E_MTAB_365;METTL8;All-tumours;DFS;0,03;0,4;428;0,10
E_MTAB_365;METTL8;Luminal-A;OS;0,18;1;113;0,25
E_MTAB_365;METTL8;Luminal-A;DFS;0,07;0,9;113;0,18
E_MTAB_365;METTL8;Luminal-B;OS;0,03;0,8;103;0,10
E_MTAB_365;METTL8;Luminal-B;DFS;0,2;0,4;103;0,25
E_MTAB_365;METTL8;HER2-enriched;OS;0,32;0,6;48;0,36
E_MTAB_365;METTL8;HER2-enriched;DFS;0,54;0,3;48;0,54
E_MTAB_365;METTL8;Basal-like;OS;0,1;0,6;82;0,20
E_MTAB_365;METTL8;Basal-like;DFS;0,16;0,5;82;0,25
E_MTAB_365;ALG13;All-tumours;OS;0,02;0,5;428;0,10
E_MTAB_365;ALG13;All-tumours;DFS;0;0,6;428;0,00
E_MTAB_365;ALG13;Luminal-A;OS;0,82;-0,2;113;0,86
E_MTAB_365;ALG13;Luminal-A;DFS;0,57;-0,3;113;0,86
E_MTAB_365;ALG13;Luminal-B;OS;0,83;-0,1;103;0,86
E_MTAB_365;ALG13;Luminal-B;DFS;0,82;0,1;103;0,86
E_MTAB_365;ALG13;HER2-enriched;OS;0,86;0,1;48;0,86
E_MTAB_365;ALG13;HER2-enriched;DFS;0,82;0,1;48;0,86
E_MTAB_365;ALG13;Basal-like;OS;0,64;0,2;82;0,86
E_MTAB_365;ALG13;Basal-like;DFS;0,82;0,1;82;0,86
E_MTAB_365;SETD6;All-tumours;OS;0,67;-0,1;428;0,85
E_MTAB_365;SETD6;All-tumours;DFS;0,85;0;428;0,85
E_MTAB_365;SETD6;Luminal-A;OS;0,42;0,6;113;0,85
E_MTAB_365;SETD6;Luminal-A;DFS;0,25;0,6;113;0,85
E_MTAB_365;SETD6;Luminal-B;OS;0,84;0,1;103;0,85
E_MTAB_365;SETD6;Luminal-B;DFS;0,51;0,2;103;0,85
E_MTAB_365;SETD6;HER2-enriched;OS;0,74;-0,2;48;0,85
E_MTAB_365;SETD6;HER2-enriched;DFS;0,53;-0,3;48;0,85
E_MTAB_365;SETD6;Basal-like;OS;0,19;0,5;82;0,85
E_MTAB_365;SETD6;Basal-like;DFS;0,53;0,2;82;0,85
E_MTAB_365;JADE1;All-tumours;OS;0,47;0,2;428;0,81
E_MTAB_365;JADE1;All-tumours;DFS;0,34;0,2;428;0,81
E_MTAB_365;JADE1;Luminal-A;OS;0,57;-0,4;113;0,81
E_MTAB_365;JADE1;Luminal-A;DFS;0,81;0,1;113;0,81
